title,artist,album,releaseDate,albumCover,spotifyLink,intro,mood,theme,duree,type,tempo,annee
Un été français,Indochine,13,2017,assets/covers/13.jpg,https://open.spotify.com/track/4Ngeca4zs304bDnDh3pjzI?si=a07e54927c0c4c61,Moyenne,Joyeuse,Autre,Longue,Studio,Rythmée,2001-2024
Un homme dans la bouche,Indochine,Alice & June,2005,assets/covers/alice-june.jpg,https://open.spotify.com/track/7iJgeMF2v5dnMfZbtPgUdj?si=099dab3b03d74db1,Courte,Triste,Autre,Moyenne,Studio,Rythmée,2001-2024
Un jour dans notre vie,Indochine,Un jour dans notre vie,1993,assets/covers/jourvie.jpg,https://open.spotify.com/track/0EhKeaK5pvMfc6T3hKmaNi?si=fd56d52b7de44b0e,Courte,Neutre,Autre,Moyenne,Studio,Rythmée,1981-2001
Un singe en hiver,Indochine,Paradize,2002,assets/covers/paradize.jpg,https://open.spotify.com/track/2K3SPUYnb49aoY66BTHQSK?si=24cde1ffb5594d71,Courte,Triste,Autre,Standard,Studio,Calme,2001-2024
Vibrator,Indochine,Alice & June,2005,assets/covers/alice-june.jpg,https://open.spotify.com/track/4J0WzOQbGfhb134lxej0H9?si=15324c28a3b544dd,Courte,Joyeuse,Sexe,Standard,Studio,Rythmée,2001-2024
Victoria,Indochine,Babel Babel,2024,assets/covers/babel.jpg,https://open.spotify.com/track/1AWcqVDY31x9nSOACK4EJT?si=93fd803d157948dc,Courte,Neutre,Autre,Moyenne,Studio,Rythmée,2001-2024
Wuppertal,Indochine,Black City Parade,2013,assets/covers/bcp.jpg,https://open.spotify.com/track/6COjyJgCBjY8LY5u1iCmvX?si=dc57459fedf24f52,Longue,Triste,Amour,Longue,Studio,Calme,2001-2024
3e Sexe - Live Symphonique,Indochine,Hanoï,2007,assets/covers/hanoi.jpg,https://open.spotify.com/track/5GqDzXgiKojzWIQXXO5pmy?si=ebf08db881ff4f0d,Longue,Joyeuse,Amour,Longue,Live,Calme,2001-2024
Justine - Live Symphonique,Indochine,Hanoï,2007,assets/covers/hanoi.jpg,https://open.spotify.com/track/62zcwiTsFk599sxtA7ISsq?si=4c828921159f4f43,Longue,Triste,Autre,Standard,Live,Calme,2001-2024
Pink Water - Live Symphonique,Indochine,Hanoï,2007,assets/covers/hanoi.jpg,https://open.spotify.com/track/1V1WpEpOiqyRwFkLMtc1T6?si=070f73a3d7dc45de,Longue,Triste,Autre,Longue,Live,Calme,2001-2024
Ladyboy - Live Électrique,Indochine,Hanoï,2007,assets/covers/hanoi.jpg,https://open.spotify.com/track/0Oc64uYTjm7kIxCQpyVJG5?si=a6885c747d08415e,Moyenne,Neutre,Amour,Moyenne,Live,Rythmée,2001-2024
Salômbo - Live Symphoinque,Indochine,Hanoï,2007,assets/covers/hanoi.jpg,https://open.spotify.com/track/6P1yR1mRcTupj37xVAdgRt?si=21168c02b3604ae3,Longue,Triste,Autre,Standard,Live,Calme,2001-2024
Le grand secret,Indochine & Melissa Auf Der Maur,3.6.3,2003,assets/covers/363.jpg,https://open.spotify.com/track/4vHv0HOS1ZqnsiAV8fzFPb?si=a64add67dea74a89,Moyenne,Triste,Amour,Longue,Live,Calme,2001-2024
